@RELATION d2048

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 {0.0,1.0}

@DATA
1.2747549999999999,-0.412368,1.0
-0.9845790000000001,-1.390177,1.0
-0.8281430000000001,1.117817,0.0
0.9926219999999999,1.2947440000000001,1.0
0.006449,-0.5272220000000001,0.0
1.250523,-0.5992029999999999,1.0
0.664976,-1.287259,1.0
0.996712,0.69853,0.0
0.433493,0.471812,0.0
0.34731599999999996,0.506189,0.0
1.2277959999999999,1.350663,1.0
0.586925,-0.802848,1.0
0.792093,0.693491,0.0
0.72155,-0.08819,0.0
0.518473,-1.0304309999999999,1.0
-0.196831,-1.164049,1.0
-0.389042,0.506066,0.0
-1.251386,-0.141942,1.0
-0.205724,-1.079192,1.0
1.329852,-0.397393,1.0
1.160448,-1.478734,1.0
1.2776290000000001,1.0663,1.0
1.34105,1.252369,1.0
-0.7151569999999999,-0.077775,0.0
0.173731,-1.108287,1.0
-1.243378,0.722657,1.0
-1.34313,0.937507,1.0
-0.670251,1.227066,1.0
-1.223955,0.401002,1.0
-0.362565,0.45944300000000005,0.0
1.470466,-1.351602,1.0
-0.417466,0.7392,0.0
0.640782,-0.857016,1.0
0.304684,-1.454185,1.0
1.193229,-1.400304,1.0
-0.54171,-1.401749,1.0
-0.592102,0.9912709999999999,0.0
0.5649069999999999,-0.184604,0.0
-1.330076,0.725675,1.0
-0.802293,0.29535,0.0
1.352425,-1.005898,1.0
-0.500843,0.216423,0.0
0.186289,1.092811,0.0
-1.2354479999999999,1.069697,1.0
-0.420942,1.481008,1.0
-0.945189,-0.46243,1.0
-0.538193,0.9136290000000001,0.0
0.450254,-1.015879,1.0
0.375479,-0.706408,1.0
-0.694764,0.920199,0.0
-0.680071,0.9063610000000001,0.0
-1.19818,-0.947509,1.0
1.499313,1.092598,1.0
-0.120974,1.067825,0.0
0.321302,1.131591,0.0
0.481915,1.217759,0.0
-1.027925,-1.130786,1.0
-1.222667,-0.76712,1.0
0.884951,-0.7459359999999999,1.0
1.186277,1.310255,1.0
0.37943699999999997,0.308242,0.0
-1.2109370000000002,0.26174000000000003,1.0
1.298706,0.711236,1.0
1.370419,-0.020857,1.0
1.363947,-0.311177,1.0
0.7934,-0.715777,1.0
0.466383,0.776418,0.0
0.577425,0.499291,0.0
-0.9247049999999999,-0.39634,1.0
-0.9207219999999999,0.110151,0.0
-1.272729,0.576739,1.0
1.181036,-0.151731,1.0
0.9506180000000001,-0.259201,1.0
0.519245,-0.310698,0.0
0.525442,-0.7883819999999999,1.0
-1.241793,-0.45625699999999997,1.0
-0.5356390000000001,1.275272,1.0
-1.424721,-1.347776,1.0
1.315358,1.407245,1.0
-0.339007,-0.8090069999999999,1.0
1.323921,-0.97672,1.0
-0.734661,0.410116,0.0
-0.412132,-0.74869,1.0
-1.0457450000000001,-1.219399,1.0
-0.551606,-0.24479800000000002,0.0
-0.8474360000000001,-0.155547,0.0
-0.647284,0.620428,0.0
0.293118,1.3874870000000001,1.0
0.198905,0.641712,0.0
1.195155,-1.070886,1.0
0.280059,-0.23387800000000003,0.0
-0.24184299999999997,-1.478723,1.0
0.7705609999999999,0.47204799999999997,0.0
-1.439872,-1.16668,1.0
0.6764640000000001,-0.781258,1.0
-0.588917,0.515181,0.0
0.402408,-1.081128,1.0
-1.365976,1.344249,1.0
-0.5317890000000001,-1.147657,1.0
-0.136847,-1.416216,1.0
-0.344534,-1.4024889999999999,1.0
-0.749132,1.242942,1.0
0.025704,-1.189457,1.0
0.22656700000000002,0.941293,0.0
-0.24949000000000002,-0.37699299999999997,0.0
-1.221518,-1.0167959999999998,1.0
0.317656,-0.352273,0.0
-0.778871,1.312661,1.0
0.055153,1.4017680000000001,1.0
-0.527473,-0.709641,1.0
0.6310020000000001,-0.213273,0.0
0.661876,-0.9109079999999999,1.0
0.333276,0.348105,0.0
-0.221,-1.472587,1.0
-0.730737,1.403828,1.0
-0.9857040000000001,0.544138,0.0
-0.04161,0.820225,0.0
0.630494,1.16234,0.0
1.129823,1.430166,1.0
-0.97121,1.422288,1.0
1.041348,-0.9009780000000001,1.0
0.25145300000000004,1.09707,0.0
1.0657590000000001,1.4977340000000001,1.0
0.7009029999999999,0.149213,0.0
-0.8381629999999999,0.030524000000000003,0.0
0.39264499999999997,-0.467797,0.0
-0.848469,-1.0600129999999999,1.0
0.10047,0.852253,0.0
0.702228,-1.447631,1.0
-1.137697,-0.90059,1.0
0.643595,0.185507,0.0
-0.666285,-0.341935,0.0
-1.147681,0.053234000000000004,1.0
0.9960680000000001,0.615881,0.0
0.39719499999999996,1.16377,0.0
1.4958420000000001,0.17569200000000001,1.0
-0.069009,1.0735860000000002,0.0
0.8142659999999999,0.908933,0.0
-1.131859,1.29474,1.0
0.062452999999999995,0.235593,0.0
0.589271,-1.328663,1.0
1.218075,-0.00796,1.0
-0.290698,1.4318540000000002,1.0
-1.169861,-0.69655,1.0
-1.339935,-0.77459,1.0
0.052658,-0.823795,0.0
1.239589,-0.879234,1.0
0.325613,-0.618553,0.0
-0.00579,-1.081401,1.0
-0.396382,-1.2345549999999998,1.0
-0.345932,-0.87945,1.0
-0.301421,-0.34417,0.0
0.697416,1.408463,1.0
-0.137129,0.007304000000000001,0.0
-0.421401,-0.986469,1.0
-1.0957540000000001,-0.312435,1.0
-0.21119000000000002,-1.268469,1.0
-0.952817,0.7590180000000001,0.0
1.279228,0.8377549999999999,1.0
-0.017921,-1.1074030000000001,1.0
-1.280025,0.628636,1.0
0.341613,0.51447,0.0
-1.078941,1.133507,1.0
0.98388,-0.686172,1.0
0.890049,1.32281,1.0
0.61973,-0.12477200000000001,0.0
0.798268,0.641904,0.0
1.351215,-0.100675,1.0
-0.833982,0.774274,0.0
0.12321099999999999,-1.040068,1.0
0.339212,-0.679002,0.0
0.172319,-1.4063450000000002,1.0
-0.22187199999999999,0.456371,0.0
-0.925053,0.8582059999999999,0.0
-0.6176510000000001,-1.416396,1.0
-1.363211,0.40862800000000005,1.0
-0.325664,0.837342,0.0
-0.054588,0.44938100000000003,0.0
1.488791,1.333915,1.0
-1.036033,1.465173,1.0
0.361695,-0.809612,1.0
0.26302600000000004,-1.4797799999999999,1.0
-0.493649,1.137461,0.0
-0.48503599999999997,0.832059,0.0
0.790802,1.270592,1.0
0.968623,0.6641560000000001,0.0
1.187131,1.029776,1.0
1.446884,0.8874120000000001,1.0
0.7444189999999999,-0.094261,0.0
-1.478875,-0.791853,1.0
-1.171106,-1.415476,1.0
-0.739759,-0.45277799999999996,1.0
-0.5703020000000001,0.49816000000000005,0.0
-1.324014,0.138277,1.0
0.680146,-0.70949,1.0
-0.516173,-0.6921149999999999,1.0
0.157077,0.241436,0.0
-0.375092,-0.814994,1.0
-1.16088,1.458033,1.0
1.49381,-0.234546,1.0
1.194081,-1.242466,1.0
1.360128,1.363251,1.0
1.25983,-0.732892,1.0
-1.1877469999999999,-1.356154,1.0
-1.260083,0.771884,1.0
1.282609,-0.547999,1.0
0.7093149999999999,-1.162803,1.0
-1.1783059999999999,1.081875,1.0
0.869453,0.167451,0.0
0.7262689999999999,1.1913340000000001,0.0
0.759013,0.30083499999999996,0.0
-0.44325,-0.816064,1.0
-0.097483,0.45744399999999996,0.0
-1.368136,0.833096,1.0
-1.153892,0.34181500000000004,1.0
-0.8618459999999999,-1.063985,1.0
0.9194700000000001,-0.734753,1.0
-1.082493,-1.09651,1.0
-0.908373,0.7975270000000001,0.0
0.145803,-0.089499,0.0
-0.349875,0.8248209999999999,0.0
1.47507,1.473133,1.0
0.126202,0.502909,0.0
0.083873,-0.179514,0.0
-0.627629,-0.46711199999999997,0.0
0.41429399999999994,0.287461,0.0
0.317302,0.05087,0.0
0.312077,-1.2939049999999999,1.0
-0.634558,0.669434,0.0
0.934876,0.643012,0.0
-0.310869,-1.350851,1.0
0.28224,-0.357125,0.0
0.786886,1.417284,1.0
1.042183,-0.267475,1.0
0.5075810000000001,1.251798,1.0
