@relation D2a-weka.filters.unsupervised.attribute.Standardize

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y {0.0,1.0}

@data
-1.429841,0.251612,0.883624,0.02168,-0.190477,-0.14501,0.0
-0.484286,0.57763,-1.070322,0.566496,-1.479857,0.518491,1.0
-0.188816,0.956112,0.99016,-0.079778,1.835414,-0.557502,0.0
0.247407,-0.4625,-0.201874,1.179499,-1.284233,0.360378,1.0
-1.372901,1.365401,-2.017147,1.45132,1.549497,-0.806441,0.0
1.385128,-1.665273,-1.110936,-0.329345,-1.299543,0.91329,1.0
-1.444026,1.967986,-0.09353,0.111799,0.81047,0.055153,1.0
0.796222,0.160925,0.478584,0.432133,-1.575131,-0.334439,1.0
0.893179,1.298553,1.138248,-1.23788,-1.20385,0.595622,1.0
0.082166,-0.414589,-0.443646,0.288464,-0.094405,1.534345,1.0
-0.579162,0.983626,-0.138132,0.573863,-0.064811,-0.895566,0.0
0.755918,-1.576491,-0.611353,-0.276974,0.702612,0.301375,1.0
-0.717932,0.286344,-0.889272,0.288228,-0.812515,1.504206,1.0
0.696665,0.64543,1.160844,0.046934,-0.330702,1.648954,1.0
0.222829,-0.121401,-0.028857,-0.294038,0.787841,-1.636142,0.0
-0.598118,-1.379613,1.029862,1.300358,-1.496007,0.469025,1.0
0.52099,1.755047,-0.569084,-0.259572,-1.487045,-0.321574,1.0
0.073634,-1.312077,1.024047,1.339397,-0.851926,1.256317,1.0
1.871931,-1.817321,1.502001,-0.422066,1.075742,-1.235742,0.0
0.315583,-0.917838,0.080993,1.792785,-1.199041,0.723756,1.0
0.75604,0.659576,-0.687406,-0.092289,-0.508935,0.139671,0.0
-0.51752,1.002544,0.393386,-0.745777,1.653023,0.214001,0.0
-1.532933,-2.223443,-0.339567,1.519681,0.589811,-0.671315,1.0
0.829645,-0.100466,0.030102,1.245725,-0.011218,-1.263378,0.0
0.931975,-0.985649,0.65459,-0.231091,-0.107138,-0.820257,0.0
-0.580971,-0.486648,-1.071452,0.563834,0.364142,-1.598048,0.0
0.785995,1.210497,2.600133,0.927397,-0.241947,-0.302283,0.0
-0.317657,-1.347282,0.044648,-0.274738,-0.384346,-0.06342,0.0
-1.309504,-0.951232,0.953925,1.628906,-0.206485,0.671649,0.0
-0.897618,-0.615123,0.591285,1.509606,-0.400132,-0.031467,0.0
1.897852,-0.489987,-0.381935,-0.051963,0.552385,-1.593414,0.0
2.25698,1.630795,0.296439,2.563219,0.571506,0.41491,1.0
-0.504976,1.333419,0.021891,1.719192,0.800855,-1.318686,0.0
-0.441927,1.406479,-1.112745,1.156425,0.116007,-1.300833,0.0
-0.127148,-1.064347,-0.502051,1.905447,0.426186,0.621579,1.0
0.227777,-0.954173,-1.06959,1.540662,-0.171713,1.576699,1.0
-1.720676,-0.462875,-1.252288,0.996014,0.664072,-1.576505,0.0
0.300784,1.177902,0.615923,-0.129013,0.052143,-1.187567,0.0
0.681994,0.798661,1.189422,-0.974598,0.512816,0.59133,1.0
0.982698,-0.330845,0.753317,0.377519,-1.283856,-0.226426,1.0
-0.05359,0.653764,0.139652,-1.119213,0.511518,0.880624,1.0
